"Part","Qty","Price","Link"
"Raspberry Pi Pico","2","$10.00","https://www.digikey.com/en/products/detail/raspberry-pi/SC1631/24627136"
"PJ-320A TRRS Jack","2","$1.00","https://keeb.io/products/trrs-jack-3-5mm"
"40cm TRRS Coiled Angled Cable","1","$3.99","https://keeb.io/products/trrs-cable?variant=50550149190"
"10uf 0805 Capacitor","18","$1.50","https://www.digikey.com/en/products/detail/murata-electronics/GRM21BR61C106KE15K/2546903"
"1N4148W SOD-123 SMD Diode","52","$3.85","https://www.digikey.com/en/products/detail/smc-diode-solutions/1N4148W/6022450"
"Kailh MX Hotswap Sockets","52","$6.60","https://mechanicalkeyboards.com/products/kailh-switch-hot-swap-socket"
"MX Switches (LED Compatible)","52","$20.80","https://mechanicalkeyboards.com/products/cherry-mx2a-blue-60g-clicky?variant=48020492091692"
"PCB","2","$102.00","---"
"Microcontrollers","2","$10.00","---"
"Misc Electronics","---","$12.95","---"
"Fasteners","1","$3.99","---"
"Keys","52","$20.80","---"
"Keycaps","52","$22.00","---"
"Shipping","---","$40.00","---"
"Total Price Without Tariffs or shipping","---","$144.74","---"
"Total Price With Tariffs and shipping, since 'merica :c","---","$211.74","---"
